ID,Interview.ID,Role,Speaker,Utterance,Line,Stanza,ML.AI.Applications,Limitations.of.ML.AI,Privacy,Human.involvemnt.interaction,Bias..Prejudice..and.Harm,Minimizing.Bias.and.Harm,Assessing.Underlying.Motivations,Trust.Building,Algorithms.and.computational.thinking,Training.and.Testing.Machines.Using.Data
1,AH,Researcher,Researcher 1,"Okay, here we go. All right. So I'm recording this interview and we are interviewing with Madison. Did I say that correctly?",1,1,0,0,0,0,0,0,0,0,0,0
2,AH,Grad Student,Madison,Yes.,2,1,0,0,0,0,0,0,0,0,0,0
3,AH,Researcher,Researcher 1,"Okay, great. And what is the date today? Today is Thursday, January 27th, 2022. Just so we have it for the record. Okay. So let's get started. So Allyson, can you tell us a little bit first, just about you, your professional background and your work history?",3,1,0,0,0,0,0,0,0,0,0,0
4,AH,Grad Student,Madison,Sure. So I am an active duty army officer. I work in the cyber operations field for the army and I've been in the cyber operations field for the army since 2016. So some of my past jobs have really focused on incident response and defensive cyber is my main background work area and right now I am pursuing my doctoral studies in human centered computing focused on particularly adaptive autonomy in human AI teams.,4,1,0,0,0,1,0,0,0,0,0,0
5,AH,Researcher,Researcher 1,"Okay. Can you tell us more about, you said the projects that you worked on before? I don't even know what they are. You said defense, what was it?",5,1,0,0,0,0,0,0,0,0,0,0
6,AH,Grad Student,Madison,So mostly defensive cyber operations. So a lot of incident response kind of stuff.,6,1,0,0,0,0,0,0,0,0,0,0
7,AH,Researcher,Researcher 1,Okay. Can you give a little example of that?,7,1,0,0,0,0,0,0,0,0,0,0
8,AH,Grad Student,Madison,"So one job I had, when I was on a team, we would go out to different sites of critical infrastructure and basically assess their security posture and detect if they had any breaches or things like that and that all I've also done instant response missions, where a corporation may detect that they've had a breach of their security defenses and we come in and figure out where it came from, how to fix it and get rid of all the traces that are still on their systems or the networks.",8,1,0,0,1,1,0,1,0,0,1,0
9,AH,Researcher,Researcher 1,Okay. Got it. Got it. So then how did you become interested in joining the research lab that you're in now and exploring more AI applications?,9,1,1,0,0,0,0,0,0,0,0,0
10,AH,Grad Student,Madison,"So something, we noticed that a lot of the tools, so to speak that we use in computer security are very automated and are going towards the trend of what you would consider AI autonomous agents and I started to become interested in Dr. Thomas work on human AI teaming because those systems are almost getting to the point in computer security where they would have a full team role. And just trying, I wanted to start looking into the factors that would make those teams more successful as those tools become more and more autonomous.",10,1,1,0,1,0,0,0,0,1,0,0
11,AH,Researcher,Researcher 1,"Okay, great. So is human AI teaming a mix of AI agents and humans working together to complete a task?",11,1,1,0,0,0,0,0,0,0,0,0
12,AH,Grad Student,Madison,Yes.,12,1,0,0,0,0,0,0,0,0,0,0
13,AH,Researcher,Researcher 1,Okay. So can you tell me a little bit more maybe about your understanding of that and maybe why you're interested in it or why you think it is important work?,13,1,0,0,0,0,0,0,0,0,0,0
14,AH,Grad Student,Madison,"Sure. So the big differentiator for what would be a teammate versus a tool is that it's sort of an interdependent relationship. I'm not just using a system. I need stuff from it. It needs stuff for me. And there's a symbiotic relationship there. And I saw that as becoming more and more important, and I'm really interested in it because a lot of the tools that we're using on like computer security and a lot of other professional organizations are getting so sophisticated that they have capabilities that we're not able to do, that we really need to be able to leverage better. So from my perspective and a security standpoint, that's a lot of data analysis. AI can tackle data sets that we can't even fathom at a much faster rate. And we need to be able to give it a certain amount of autonomy to do that. But then there's also the human side of, I still need human reasoning to be involved in making a decision, especially when the risks or the consequences are high. So there's a lot of just interesting research areas for figuring out what the right balance is of that and how we work together with those tools.",14,1,1,0,1,1,0,0,0,1,1,0
15,AH,Researcher,Researcher 1,"That's so interesting, like this hybrid task force and like what the responsibilities should be of the AI and what the responsibilities should be the human. I think that's fascinating. Okay. So more about you personally. So what sort of activities related to AI would you do in a typical week in your position now?",15,1,1,0,0,1,0,0,0,0,0,0
16,AH,Grad Student,Madison,"I mean, right now it's a lot of just research and what their capabilities are and then trying to model what they might be able to do. So I'm designing a new experiment right now and we're going to fake the AI. We're not going to make the real system, but we have to be able to make it seem real to the person doing the experiments. There's a lot of research there about what the AI should be capable of and what the person would see and interact with the AI.",16,1,1,0,0,1,0,0,0,0,0,0
17,AH,Researcher,Researcher 1,"So tell me more about faking the AI. So you're not actually building the AI system, so what does it mean to fake the AI?",17,1,0,0,0,1,0,0,0,0,0,0
18,AH,Grad Student,Madison,"So what I'm doing right now, we have a chat client and it's supposed to be like the way that the AI would communicate with their teammate is through textual chat. So it'll just be, me or my trained team members actually typing out with the AI, I would tell them, but the participant doesn't know that. So they have to feel like it's an actual automated agent that they're conversing back and forth with as they're doing their task.",18,1,1,0,0,1,0,0,0,1,0,0
